"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"12:13:49.7041533 PM","lsass.exe","648","RegOpenKey","HKLM\SECURITY\Policy","SUCCESS","Desired Access: Read/Write"
"12:13:49.7041706 PM","lsass.exe","648","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"12:13:49.7041868 PM","lsass.exe","648","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","BUFFER OVERFLOW","Length: 12"
"12:13:49.7042103 PM","lsass.exe","648","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"12:13:49.7042170 PM","lsass.exe","648","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"12:13:49.7042304 PM","lsass.exe","648","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","SUCCESS","Type: REG_NONE, Length: 180, Data: 01 00 04 80 98 00 00 00 A8 00 00 00 00 00 00 00"
"12:13:49.7042497 PM","lsass.exe","648","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"12:13:49.7043689 PM","lsass.exe","648","RegCloseKey","HKLM\SECURITY\Policy","SUCCESS",""
"12:13:49.7044843 PM","lsass.exe","648","RegOpenKey","HKLM\SECURITY\Policy","SUCCESS","Desired Access: Read/Write"
"12:13:49.7044997 PM","lsass.exe","648","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"12:13:49.7045137 PM","lsass.exe","648","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","BUFFER OVERFLOW","Length: 12"
"12:13:49.7045332 PM","lsass.exe","648","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"12:13:49.7045396 PM","lsass.exe","648","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"12:13:49.7045528 PM","lsass.exe","648","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","SUCCESS","Type: REG_NONE, Length: 180, Data: 01 00 04 80 98 00 00 00 A8 00 00 00 00 00 00 00"
"12:13:49.7045715 PM","lsass.exe","648","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"12:13:49.7046670 PM","lsass.exe","648","RegCloseKey","HKLM\SECURITY\Policy","SUCCESS",""
"12:13:49.7048126 PM","lsass.exe","648","RegOpenKey","HKLM\SECURITY\Policy","SUCCESS","Desired Access: Read/Write"
"12:13:49.7048271 PM","lsass.exe","648","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"12:13:49.7048408 PM","lsass.exe","648","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","BUFFER OVERFLOW","Length: 12"
"12:13:49.7048603 PM","lsass.exe","648","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"12:13:49.7048665 PM","lsass.exe","648","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"12:13:49.7048796 PM","lsass.exe","648","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","SUCCESS","Type: REG_NONE, Length: 180, Data: 01 00 04 80 98 00 00 00 A8 00 00 00 00 00 00 00"
"12:13:49.7048986 PM","lsass.exe","648","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"12:13:49.7049914 PM","lsass.exe","648","RegCloseKey","HKLM\SECURITY\Policy","SUCCESS",""
"12:13:49.7051059 PM","lsass.exe","648","RegOpenKey","HKLM\SECURITY\Policy","SUCCESS","Desired Access: Read/Write"
