domain,count,harmless,malicious,suspicious,timeout,undetected
horizontaldog.com,8,58,0,0,0,8
imjessicat.com,6,56,0,0,0,7
gold-serveur.biz,26,60,0,0,0,6
nacworld.net,20,59,0,0,0,5
fr.eu,4,56,0,0,0,8
amarion.es,2,61,0,0,0,7
ip-178-33-160.eu,84,61,0,0,0,7
nonfqdn.net,10,57,0,0,0,7
ovh.net,124,60,0,0,0,7
pulsarinara.net,8,59,0,0,0,7
estevez.info,2,59,0,0,0,7
markeingtrends.com,2,58,0,0,0,9
rtvbn.com,2,58,0,0,0,5
webempresa.eu,86,59,1,0,0,6
instalaciones2002.com,2,60,0,0,0,6
emprendedoresenred.org,2,56,0,0,0,8
seidonet.com,6,59,0,0,0,8
c2csoluciones.com,2,59,0,0,0,6
campamentoenclavedesol.es,2,59,0,0,0,8
ibercheck.com,2,58,0,0,0,6
entelequia.cloud,2,0,0,0,0,0
twentic.com,14,58,0,0,0,8
ramblacatalunyasuites.com,2,58,0,0,0,9
aragosuites.com,2,59,0,0,0,7
fullsix.es,12,58,0,0,0,7
ticketea.net,8,57,0,0,0,8
urquinaonaapartments.com,2,57,0,0,0,7
tmira.com,2,59,0,0,0,7
open-matrix.es,16,59,0,0,0,7
jobijoba.es,2,59,0,0,0,6
globaltel.es,2,60,0,0,0,7
bymovil.com,2,58,0,0,0,7
slip-emailing.com,2,57,0,0,0,8
virtuo2.com,2,58,0,0,0,8
geoads.net,2,59,0,0,0,8
eset.es,2,60,0,0,0,6
kimsufi.com,34,60,0,1,0,6
pcrednet.net,4,58,0,0,0,7
ocrend.com,2,59,0,0,0,7
dopan.es,2,57,1,0,0,8
typekids.com,2,58,0,0,0,6
bipasesores.com,8,59,0,0,0,7
develart.com,4,59,0,0,0,7
idener.es,2,59,0,0,0,7
m1.gamehost.es,4,0,0,0,0,0
plasex.es,2,59,0,0,0,8
portaldelvicio.net,2,59,0,0,0,5
optimasolutions.es,2,59,0,0,0,7
soluciones.si,2,60,0,0,0,6
unnamed.es,2,57,0,0,0,8
basconfer.com,2,58,0,0,0,6
totdominis.com,2,58,0,0,0,8
com.es,10,57,0,0,0,7
iberpixel.net,4,57,0,0,0,7
intersoftcom.net,6,58,0,0,0,7
dnatura.es,2,58,0,0,0,8
tacf.cat,2,60,0,0,0,8
marinycarbonell.com,2,60,0,0,0,6
plum.dongee.com,2,0,0,0,0,0
fersoft.es,4,58,2,0,0,7
buscounchollo.es,2,0,0,0,0,0
defensacentral.com,2,0,0,0,0,0
dapda.com,2,0,0,0,0,0
arnyx.es,2,0,0,0,0,0
entelecheia.net,2,0,0,0,0,0
pirata.cat,2,0,0,0,0,0
eljardindenoa.net,2,0,0,0,0,0
pornovr.tube,2,0,0,0,0,0
basic.ad,2,0,0,0,0,0
telemaco.es,6,0,0,0,0,0
prosolutions.es,2,0,0,0,0,0
indaloweb.es,2,0,0,0,0,0
entuculo.com,2,0,0,0,0,0
dapdacrm.com,4,0,0,0,0,0
formacionegs.com,2,0,0,0,0,0
smartick.es,4,0,0,0,0,0
invbit.info,2,0,0,0,0,0
odoocloud.es,4,0,0,0,0,0
onalia.com,2,0,0,0,0,0
ajgirona.org,2,0,0,0,0,0
cursosgratis.es,2,0,0,0,0,0
red-178-33-160.asdiversity.es,2,0,0,0,0,0
elpunt.org,2,0,0,0,0,0
xerintel.com,2,0,0,0,0,0
adur.com,6,0,0,0,0,0
transkal.com,4,0,0,0,0,0
nubbia.com,2,0,0,0,0,0
domatix.com,2,0,0,0,0,0
opensly.com,2,0,0,0,0,0
srvdr.com,2,0,0,0,0,0
factoriadeinnovacion.com,2,0,0,0,0,0
cleantecsoftware.com,2,0,0,0,0,0
gabol.com,2,0,0,0,0,0
dwservers.net,2,0,0,0,0,0
qwass.net,2,0,0,0,0,0
host01.grupo-aei.net,4,0,0,0,0,0
vinofilos.es,2,0,0,0,0,0
wowcore.com,4,0,0,0,0,0
optexsl.es,2,0,0,0,0,0
share4.info,2,0,0,0,0,0
naturahosting.net,4,0,0,0,0,0
foton.es,4,0,0,0,0,0
iberent.es,2,0,0,0,0,0
x-site.info,2,0,0,0,0,0
nan-tic.com,4,0,0,0,0,0
farmtown-links.es,2,0,0,0,0,0
friproxy0.biz,2,0,0,0,0,0
jacarsystems.com,2,0,0,0,0,0
thekioske.com,2,0,0,0,0,0
technospain.es,2,0,0,0,0,0
ip-178-33-161.eu,110,0,0,0,0,0
srv-teide.net,4,0,0,0,0,0
budo-fight.es,2,0,0,0,0,0
rbx3.ovh.abcd.network,4,0,0,0,0,0
wifibytes.com,4,0,0,0,0,0
servidoresadmin.com,2,0,0,0,0,0
noucode.com,4,0,0,0,0,0
filmac.com,8,0,0,0,0,0
lambdaeasy.com,2,0,0,0,0,0
irontec.com,2,0,0,0,0,0
a2sistemas.com,2,0,0,0,0,0
aitana.digital,2,0,0,0,0,0
habitissimo.com.ar,2,0,0,0,0,0
aitana.cloud,2,0,0,0,0,0
dongee.com,2,0,0,0,0,0
ziddea.com,2,0,0,0,0,0
chavetas.es,2,0,0,0,0,0
fri-gate0.org,2,0,0,0,0,0
sered.net,4,0,0,0,0,0
dicora.es,2,0,0,0,0,0
futboltecnicos.com,2,0,0,0,0,0
semillasagranel.org,2,0,0,0,0,0
citiservimail.com,2,0,0,0,0,0
citiservi-questions.com,2,0,0,0,0,0
citiservi-dir.com,2,0,0,0,0,0
citiservi-news.com,2,0,0,0,0,0
reventadehosting.es,2,0,0,0,0,0
agropienso.es,2,0,0,0,0,0
undanet.com,2,0,0,0,0,0
fbtabns.com,2,0,0,0,0,0
millorsoft.eu,2,0,0,0,0,0
tiemporda.net,4,0,0,0,0,0
segre.com,2,0,0,0,0,0
socket.es,2,0,0,0,0,0
elartedepresentar.info,2,0,0,0,0,0
6am.es,6,0,0,0,0,0
compradeluxe.com,2,0,0,0,0,0
rbx.ovh.abcd.network,2,0,0,0,0,0
tgsstf.gescustar.com,2,0,0,0,0,0
xpnti.eu,2,0,0,0,0,0
leb-communication.fr,2,0,0,0,0,0
promocionaweb.es,2,0,0,0,0,0
spain-networks.net,2,0,0,0,0,0
etniabarcelona.ovh,2,0,0,0,0,0
lakento.com,2,0,0,0,0,0
unsitio.es,2,0,0,0,0,0
augecomunicacion.com,2,0,0,0,0,0
