CourseName,YearQuarter,StudentId,Week,PromptText,ResponseText,Text
Introduction to Statistics,20201,1,Week 1,"Address the following questions to help me understand your perspective:

Why are you taking this course?
What do you hope to learn from this course?
What is one thing I should know about you to help you learn?","Why are you taking this course?
As an environmental studies major, I need to work with tons of data collected on environmental issues and be able to thoroughly communicate the results to an audience. I feel this class will provide me the skills to be able to accurately analyze large pieces of data and be able to produce results that simplify what the data concludes on a certain environmental issue.

What do you hope to learn from this course?
I hope to gain the ability to make sense of copious amounts of data and sense patterns that can be reported.

What is one thing I should know about you to help you learn?
I feel that lecture style teachings tied with a portion of class time designated to individual work is my best way of learning a topic. Sitting through hour long lectures with no time to work through the material leaves me frustrated and unable to produce my best work.","As an environmental studies major, I need to work with tons of data collected on environmental issues and be able to thoroughly communicate the results to an audience. I feel this class will provide me the skills to be able to accurately analyze large pieces of data and be able to produce results that simplify what the data concludes on a certain environmental issue.

 I hope to gain the ability to make sense of copious amounts of data and sense patterns that can be reported.

 I feel that lecture style teachings tied with a portion of class time designated to individual work is my best way of learning a topic. Sitting through hour long lectures with no time to work through the material leaves me frustrated and unable to produce my best work."
Introduction to Statistics,20201,1,Week 2,"This week we studied sampling, variables, and measurement.

How do you see these concepts related to your experiences outside of class? (5-7 sentences)

","As an environmental studies major, I've seen the use of sampling, variables, and types of measurements used in my other courses, especially my science courses. The ability to properly understand the use of these statistic terms and processes will assist me in my future career. I want to help solve some of the world's environmental issues and with that comes a lot of research and science. With that research being conducted, they use statistics to make future estimates on how environmental issues such as global temperature rise will effect our planet in future years. this research will then be presented to activist, educators, and policy makers to continue the fight for environmental protection. Learning statistics and how to apply concepts of measurements will help me in my future academic career work endeavors.","As an environmental studies major, I've seen the use of sampling, variables, and types of measurements used in my other courses, especially my science courses. The ability to properly understand the use of these statistic terms and processes will assist me in my future career. I want to help solve some of the world's environmental issues and with that comes a lot of research and science. With that research being conducted, they use statistics to make future estimates on how environmental issues such as global temperature rise will effect our planet in future years. this research will then be presented to activist, educators, and policy makers to continue the fight for environmental protection. Learning statistics and how to apply concepts of measurements will help me in my future academic career work endeavors."
Introduction to Statistics,20201,1,Week 3,"Checking in.
This week we started to use some mathematical symbols to represent statistical ideas and learning how to describe data.

What are two things you are learning in this course that come easily and why do you feel that way (3-5 sentences)?
What are two things you are learning in this course that you find challenging and why do you feel that way (3-5 sentences)?
What are two things you are learning in this course that you want to work on (2-4 sentences)?","I feel that so far this entire course has been coming easily to me. I believe this is due to the fact that I did take a statistics course my junior year of high school and as I learn new material in the course. Because of the prior learning, I feel I haven't had a topic in previous weeks that had truly stumped me.

Currently, I am having trouble grasping the difference between measurement scales, specifically interval and ratio. I feel its because while doing the readings, I felt it wasn't covered in a way that a visual learner could grasp. I feel if given more problems that expands on the differences between the levels of measurement, I will be able to understand better. I also feel that I am having trouble with percentiles however once we go over it in class I have no doubt that I will understand.

I think in this course I would want to work on summation notation and percentiles. They are the most recent thing we covered and I feel some extra practice will solidify my knowledge on the matter.","I feel that so far this entire course has been coming easily to me. I believe this is due to the fact that I did take a statistics course my junior year of high school and as I learn new material in the course. Because of the prior learning, I feel I haven't had a topic in previous weeks that had truly stumped me.

 Currently, I am having trouble grasping the difference between measurement scales, specifically interval and ratio. I feel its because while doing the readings, I felt it wasn't covered in a way that a visual learner could grasp. I feel if given more problems that expands on the differences between the levels of measurement, I will be able to understand better. I also feel that I am having trouble with percentiles however once we go over it in class I have no doubt that I will understand.

 I think in this course I would want to work on summation notation and percentiles. They are the most recent thing we covered and I feel some extra practice will solidify my knowledge on the matter."
Introduction to Statistics,20201,1,Week 4,"Reflect on working with other people as part of the descriptive statistics lab.

How did working together help you accomplish the major assignment? (5-7 sentences)
What obstacles did you face as you were working together and how did you overcome these obstacles? (5-7 sentences)","While we have not finished the assignment yet, we were able to complete a large portion of the project fairly well with one another. There were times where one of us got stuck, and it was nice to have a group who was able to help one another grasp concepts. It was also nice having group members who were able to understand the software help assist one another on creating pivot tables and charts. Working together allowed us to be able to understand new concepts such as mean, median, and mode, and how they explain the center of distribution. I thank my group mates for helping me create a lab report that explains the statistics surrounding the titanic disaster and its passengers.

During this project, one of the largest constraints we faced was time. This was our first experience with this material, and we feared we were unable to finish by the original due date. Another issue we faced was that this was many of our first experiences truly using Microsoft excel, so many of the software's tools were unusual and took a while to grasp. Lastly, an issue we faced was our ability to create a written description that described our data results. We were able to tie result patterns after finding all the data and using Excel's pivot table to find trends that we were able to describe in the report. ","While we have not finished the assignment yet, we were able to complete a large portion of the project fairly well with one another. There were times where one of us got stuck, and it was nice to have a group who was able to help one another grasp concepts. It was also nice having group members who were able to understand the software help assist one another on creating pivot tables and charts. Working together allowed us to be able to understand new concepts such as mean, median, and mode, and how they explain the center of distribution. I thank my group mates for helping me create a lab report that explains the statistics surrounding the titanic disaster and its passengers.

 During this project, one of the largest constraints we faced was time. This was our first experience with this material, and we feared we were unable to finish by the original due date. Another issue we faced was that this was many of our first experiences truly using Microsoft excel, so many of the software's tools were unusual and took a while to grasp. Lastly, an issue we faced was our ability to create a written description that described our data results. We were able to tie result patterns after finding all the data and using Excel's pivot table to find trends that we were able to describe in the report."
Introduction to Statistics,20201,1,Week 5,"We are approaching the half-way point of the quarter, which means it is a good time to reflect on what we are learning and how your professor can improve the course. Consider the homework activities, major group assignments (labs), journals, out-of-class work, the online textbook, pre-readings,  or other activities as you answer the following

What is working well in the course to support your learning? (2-5 sentences)
What changes to the course would enhance your learning? (2-5 sentences)
Are there areas or topics related to statistics or data analysis that pique your interest? (2-5 sentences)
What big questions do you have about the field of statistics or data analysis? (2-5 sentences)","1. I really enjoy having readings done before class. that way I am able to read the material and come in with any questions of clarification I might need in the lecture. I also am able to interact with the material so I'm less likely to get stuck during our limited class time.

2. I would really enjoy having more practice problems with the material. While the book provides some, I would feel more comfortable with the equations if I were to work through them.

3. I have been really struck by the concepts surrounding inferential statistics. As a climate change activist we look at previous data showing climate change and using it to infer what damage our future could hold. Inferential statistics provides us the ability to make predictions and set goals to prevent the consequences we may reap if action is not conducted.

4. When using statistics to make predictions, how can we test our confidence in the data we collected? what is the best way to reduce bias when sampling?","1. I really enjoy having readings done before class. that way I am able to read the material and come in with any questions of clarification I might need in the lecture. I also am able to interact with the material so I'm less likely to get stuck during our limited class time.

 2. I would really enjoy having more practice problems with the material. While the book provides some, I would feel more comfortable with the equations if I were to work through them.

 3. I have been really struck by the concepts surrounding inferential statistics. As a climate change activist we look at previous data showing climate change and using it to infer what damage our future could hold. Inferential statistics provides us the ability to make predictions and set goals to prevent the consequences we may reap if action is not conducted.

 4. When using statistics to make predictions, how can we test our confidence in the data we collected? what is the best way to reduce bias when sampling?"
Introduction to Statistics,20201,1,Week 6,"The week we will be learning concepts about how to make sense of probability, combinations, and begin to apply these to make inferences. In this journal entry, reflect on the idea that very rare events still occur and can be expected to occur when we repeat them over and over again. Relate the idea to something you've experienced outside of class. (3-5 sentences)","When I was younger my dad used to buy scratch lottery tickets at the grocery store, and sometimes he would win small cash prizes from the tickets. Even though winning the lottery is slim, my dad was able to win multiple times. This is possible because so many people play the lottery that the probability of my dad winning becomes more likely. A large number of trials allow for rare events, like winning the lottery, to still occur and be more expected to occur. ","When I was younger my dad used to buy scratch lottery tickets at the grocery store, and sometimes he would win small cash prizes from the tickets. Even though winning the lottery is slim, my dad was able to win multiple times. This is possible because so many people play the lottery that the probability of my dad winning becomes more likely. A large number of trials allow for rare events, like winning the lottery, to still occur and be more expected to occur."
Introduction to Statistics,20201,1,Week 7,"For the past few weeks, we discussed the idea of a ""normal"" distribution. How does this idea relate to your experiences outside of this course? (3-5 sentences)","I am a short woman, standing proudly at 5'1"" and 3/4. When I compare myself to a normal distribution of women my age, I see that I am a height that lies on the lower end of the spectrum. Women's height is a normal distribution with a peak near 5'5"" and symmetrical tails at the ends of the curve. Using the distribution, I can determine how my height compares to the heights of other women. ","I am a short woman, standing proudly at 5'1"" and 3/4. When I compare myself to a normal distribution of women my age, I see that I am a height that lies on the lower end of the spectrum. Women's height is a normal distribution with a peak near 5'5"" and symmetrical tails at the ends of the curve. Using the distribution, I can determine how my height compares to the heights of other women."
Introduction to Statistics,20201,1,Week 8,"This week we worked with groups and practiced communicating about statistical ideas. Reflect on your work within your group and on the discussion board.

What is one thing from the assignments that come easily and why do you feel that way (1-3 sentences)?
What is one thing from the assignments that you find challenging and why do you feel that way (1-3 sentences)?
What is one thing from the assignments in this course that you want to work on (1-3 sentences)?","1. Finding statistics in poker was actually something that was fairly easy for my group because many have studied the math behind the game.

2. I really struggled using the vocabulary that statisticians use in our presentation. deciphering probability from chance and using percentages and ratios were hard to verbalize.

3. I really want to work on being able to present data that use statistic language so that I am able to properly discuss any piece of data with confidence.","1. Finding statistics in poker was actually something that was fairly easy for my group because many have studied the math behind the game.

 2. I really struggled using the vocabulary that statisticians use in our presentation. deciphering probability from chance and using percentages and ratios were hard to verbalize.

 3. I really want to work on being able to present data that use statistic language so that I am able to properly discuss any piece of data with confidence."
Introduction to Statistics,20201,1,Week 9,What is a challenge or obstacle you have been able to overcome in this course? (2-5 sentences),"In this course, I quickly realized that the time I spent taking notes on the readings was crucial in my progress. I usually have trouble with course readings and I was able to overcome that by adapting my note-taking to a style that allowed me to absorb the information and implement it in the following class. As the course went on, I am able to go back to these notes and make connections to all the statistical concepts and visualize how they intermingle.","In this course, I quickly realized that the time I spent taking notes on the readings was crucial in my progress. I usually have trouble with course readings and I was able to overcome that by adapting my note-taking to a style that allowed me to absorb the information and implement it in the following class. As the course went on, I am able to go back to these notes and make connections to all the statistical concepts and visualize how they intermingle."
Introduction to Data Visualization,20194,2,Week 1,"Address the following questions to help me understand your perspective:

Why are you taking this course?
What do you hope to learn from this course?
What is one thing I should know about you to help you learn?","Why are you taking this course?

I am taking this course because I am currently interning for a digital marketing firm that focuses on search engine optimization. Within this internship I have been exposed to a lot of data. Different types for various different purposes. I have a lot of fun figuring out ways to view and use it. This class piqued my interest and I felt like it would be very relevant and develop my knowledge for the career path I've chosen.

What do you hope to learn from this course?

What I am hoping to gain from this course is a broader understanding of data and the ways in which we can use it in the professional world.

What is one thing I should know about you to help you learn?

I am a visual learner and I like to make sure my homework is done at least a few days before something is due or i like to get ahead on my work. I always appreciate it when the homework assignments are available ahead of time.","I am taking this course because I am currently interning for a digital marketing firm that focuses on search engine optimization. Within this internship I have been exposed to a lot of data. Different types for various different purposes. I have a lot of fun figuring out ways to view and use it. This class piqued my interest and I felt like it would be very relevant and develop my knowledge for the career path I've chosen.

 What I am hoping to gain from this course is a broader understanding of data and the ways in which we can use it in the professional world.

 I am a visual learner and I like to make sure my homework is done at least a few days before something is due or i like to get ahead on my work. I always appreciate it when the homework assignments are available ahead of time."
