ID|Time|Text
576760256031682561|Sat Mar 14 15:02:15 +0000 2015|Five new running shoes that aim to go the extra mile http://lat.ms/1ELp3wU
576715414811471872|Sat Mar 14 12:04:04 +0000 2015|Gym Rat: Disq class at Crunch is intense workout on pulley system http://lat.ms/1EKOFdr
576438353555365888|Fri Mar 13 17:43:07 +0000 2015|Noshing through thousands of ideas at Natural Products Expo West http://lat.ms/1EHqywg
576438347003908096|Fri Mar 13 17:43:06 +0000 2015|Natural Products Expo also explores beauty, supplements and more http://lat.ms/1EHqyfE
576413058177712128|Fri Mar 13 16:02:36 +0000 2015|Free Fitness Weekends in South Bay beach cities aim to spark activity http://lat.ms/1EH3SMC
576394093485412352|Fri Mar 13 14:47:15 +0000 2015|For Kayla Harrison, sacrifices paid off with judo gold http://lat.ms/1EGNyve
576162196272594944|Thu Mar 12 23:25:46 +0000 2015|Sonic waves a treatment for Alzheimer's Disease? http://lat.ms/1FbQ2kk
576161553759760384|Thu Mar 12 23:23:13 +0000 2015|An ultrasound for the brain restores memory in Alzheimer's w/o so much as a needle. But only--so far--in mice.
575736772082208768|Wed Mar 11 19:15:17 +0000 2015|Is Apple's new ResearchKit really a boon for medical research? http://lat.ms/1b0E0Pi
575689067540660224|Wed Mar 11 16:05:44 +0000 2015|Warning to Chantix users: If you drink while taking this drug, you might not remember it the next day. http://lat.ms/1KSN5Kh
575459939872731136|Wed Mar 11 00:55:15 +0000 2015|Some Chantix users had memory problems after drinking a modest amount of alcohol, @US_FDA says http://lat.ms/1KSN5Kh
575425988869423104|Tue Mar 10 22:40:21 +0000 2015|Guanine isn't just an ingredient in DNA. In nanocrystal form, it allows chameleons to change colors. @NatureComms http://lat.ms/1wr2qv0
575419755986817024|Tue Mar 10 22:15:35 +0000 2015|The @US_FDA has documented 64 cases of Chantix users having seizures after using the smoking cessation drug http://lat.ms/1KSN5Kh
575404616818491392|Tue Mar 10 21:15:25 +0000 2015|Drinking while taking Chantix may make people more inebriated and aggressive than usual, @US_FDA warns http://lat.ms/1KSN5Kh
575400153873563648|Tue Mar 10 20:57:41 +0000 2015|The @US_FDA warns Chantix users that the smoking-cessation drug could cause seizures and make drinking problematic http://lat.ms/1KSN5Kh
575371994293755907|Tue Mar 10 19:05:47 +0000 2015|Loving a kid is good for his self-esteem; thinking he is better than other kids can make him narcissistic http://lat.ms/1AbI1X4
575327944295456768|Tue Mar 10 16:10:45 +0000 2015|Parents can create narcissistic tendencies in their children. Here's how, via @PNASNews http://lat.ms/1AbI1X4
575096248824389632|Tue Mar 10 00:50:05 +0000 2015|"Sadly ... it has been a missed chance," one @WHO official says of testing Ebola drugs http://lat.ms/1wm7sZx
575056076145561600|Mon Mar 09 22:10:27 +0000 2015|Warning: The Monday after daylight saving time starts is most hazardous to your health. Here's why: http://lat.ms/1BqdRlG
575053909313634304|Mon Mar 09 22:01:50 +0000 2015|One company has canceled plans to test its Ebola drug because there aren't Ebola patients left. Others may follow http://lat.ms/1wm7sZx
575053026521661440|Mon Mar 09 21:58:20 +0000 2015|"People are not just born narcissists." Their parents raise them that way, @OhioState's @BradJBushman says. http://lat.ms/1AbI1X4
575052282657652736|Mon Mar 09 21:55:22 +0000 2015|It's hard to complain about lack of Ebola patients, but one upshot is that scientists can't test possible drugs http://lat.ms/1wm7sZx
575049588454858752|Mon Mar 09 21:44:40 +0000 2015|With Ebola crisis easing, efforts to test new drugs and vaccines are in jeopardy. Why? Too few patients http://lat.ms/1wm7sZx
575009507375452160|Mon Mar 09 19:05:24 +0000 2015|Air pollution? Obesity? Genetics? You can study them all via daylight saving time http://lat.ms/1A84HY3
574964265016291328|Mon Mar 09 16:05:37 +0000 2015|For scientists, daylight saving time is a great opportunity to conduct all kinds of research. http://lat.ms/1A84HY3
574254071185457153|Sat Mar 07 17:03:34 +0000 2015|After shifting fads, time for a clear-eyed look at fat in our diets http://lat.ms/1Gtx9e7
574194432301359105|Sat Mar 07 13:06:35 +0000 2015|Three light-therapy products to aid seasonal affective disorder http://lat.ms/1HbYe32
573980153946181632|Fri Mar 06 22:55:07 +0000 2015|A pill to burn calories? "We are quite excited about it," says @EmoryUniversity researcher. So are we!http://lat.ms/1B9Gsg3
573951959851388928|Fri Mar 06 21:03:05 +0000 2015|Health focus shifts to gut microbiome and nurturing 'good' bacteria http://lat.ms/1GrwjP1
573940028155518976|Fri Mar 06 20:15:40 +0000 2015|This compound tricks muscles into thinking they were getting regular, intensive exercise. Only in females. http://lat.ms/1B9Gsg3
573935522801934336|Fri Mar 06 19:57:46 +0000 2015|Don't get out of your chair just to work out: even intensive exercise may not help if you sit for long hours. http://lat.ms/1GrngO4
